"wave.count","wave.names","wavelengths"
"396","wave.2362","2361.861816"
"397","wave.2367","2366.869629"
"398","wave.2372","2371.877441"
"399","wave.2377","2376.885254"
"400","wave.2382","2381.893066"
"401","wave.2387","2386.900879"
"402","wave.2392","2391.908691"
"403","wave.2397","2396.916504"
"404","wave.2402","2401.924561"
"405","wave.2407","2406.932373"
"406","wave.2412","2411.940186"
"407","wave.2417","2416.947998"
"408","wave.2422","2421.955811"
"409","wave.2427","2426.963623"
"410","wave.2432","2431.971436"
"411","wave.2437","2436.979492"
"412","wave.2442","2441.987305"
"413","wave.2447","2446.995117"
"414","wave.2452","2452.00293"
"415","wave.2457","2457.010742"
"416","wave.2462","2462.018555"
"417","wave.2467","2467.026367"
"418","wave.2472","2472.03418"
"419","wave.2477","2477.041992"
"420","wave.2482","2482.049805"
"421","wave.2487","2487.057617"
"422","wave.2492","2492.065674"
"423","wave.2497","2497.073486"
"424","wave.2502","2502.081299"
"425","wave.2507","2507.089111"
"426","wave.2512","2512.096924"
